Name,Films,TV Shows,Short Films,Allies,Enemies,Park Attractions
Audrey,['Home on the Range'],[],['A Dairy Tale: The Three Little Pigs'],[],[],[]
Avión,[],['Elena of Avalor'],[],[],[],[]
Dr. Axoloti,[],['TaleSpin'],[],[],[],[]
Azurine,[],['Sofia the First'],[],[],[],[]
Babyfier,['Leroy & Stitch'],"['Lilo & Stitch: The Series', 'Stitch!']",[],[],[],"[""Stitch's Great Escape!""]"
Big Bad,[],['Goldie & Bear'],[],[],[],[]
Balthazar Cavendish,[],"[""Milo Murphy's Law""]",[],[],[],[]
Steve Barkin,['Kim Possible (film)'],['Kim Possible'],[],[],[],[]
Barnaby,['Babes in Toyland'],[],[],[],[],[]
Bastion,['Tangled'],[],[],[],[],[]
Booker Carter,[],"[""Raven's Home""]",[],[],[],[]
Baylene,['Dinosaur'],[],[],[],[],[]
Ma Beagle,[],"['DuckTales', 'DuckTales (2017 series)']",[],[],[],[]
Zeke Beakerman,[],['Wizards of Waverly Place'],[],[],[],[]
Captain Candace Beakman,[],['T.O.T.S.'],[],[],[],[]
Jonah Beck,[],['Andi Mack'],[],[],[],[]
Becky Thatcher,['Tom and Huck'],[],[],[],[],['Tom Sawyer Island']
Belle,['Leroy & Stitch'],['Lilo & Stitch: The Series'],[],[],[],[]
Aerosol,[],['Pair of Kings'],[],[],[],[]
Agatha,[],['Jessie (TV series)'],[],[],[],[]
Agent,['Bolt (film)'],[],[],[],[],[]
Albert Awol,[],[],[],[],[],"['Jungle Cruise', 'Skipper Canteen']"
Alex,['The Little Mermaid II: Return to the Sea'],[],[],[],[],[]
Alexander and Terry,[],['Big City Greens'],[],[],[],[]
Ali,"['Beverly Hills Chihuahua 2', 'Beverly Hills Chihuahua 3: Viva la Fiesta']",[],[],[],[],[]
Allie Henderson,"[""I'll Be Home for Christmas""]",[],[],[],[],[]
"Queen Amena, Sparkly Queen of the World",[],['Doc McStuffins'],[],[],[],[]
Roxanne Andrews,['Let It Shine'],[],[],[],[],[]
Andromeda,[],['Hercules: The Animated Series'],[],[],[],[]
Angel Donald,['Flubber'],[],"[""Donald's Better Self"", ""Donald's Decision""]",[],[],[]
Anne Boonchuy,[],['Amphibia'],[],[],[],[]
Appoline,['Beverly Hills Chihuahua 2'],[],[],[],[],[]
Artemis,['Hercules'],['Hercules (TV series)'],[],[],[],[]
The Ashleys,"[""Recess: School's Out"", 'Recess: Taking the Fifth Grade', 'Recess: All Growed Down']",['Recess'],[],[],[],[]
Baker,['Into the Woods'],[],[],[],[],[]
Balsam,[],[],"['Morris, the Midget Moose']",[],[],[]
Barko,[],[],[],[],[],[]
The Baron,[],['Tangled: The Series'],[],[],[],[]
Bear,['A Goofy Movie'],[],"['The Bears and Bees', 'The Pointer', 'Good Scouts', 'Dumbell of the Yukon', ""Donald's Vacation"", 'Little Hiawatha', 'Primitive Pluto']",[],[],[]
"Herbert P. Bear, Esquire",[],[],[],[],[],[]
Bella the Ballerina,[],"['Doc McStuffins', 'The Doc Files']",[],[],[],[]
A.J. Arno,"['The Computer Wore Tennis Shoes', ""Now You See Him, Now You Don't"", 'The Strongest Man in the World']",[],[],[],[],[]
A.R.F.,[],['Puppy Dog Pals'],[],[],[],[]
Adelbert,"[""Mickey's Good Deed""]",[],[],[],[],[]
Ajax the Gorilla,"[""Mickey's House of Villains""]",['Mickey Mouse Works'],"['Donald Duck and the Gorilla', 'Duck Pimples']",[],[],[]
Aladdin,"['Aladdin (film)', 'The Return of Jafar', 'Aladdin and the King of Thieves', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", 'The Lion King 1½', 'Once Upon a Halloween', 'Descendants 2', 'Aladdin (2019 film)', 'Aladdin 2 (live-action film)']","['Aladdin (TV series)', 'Hercules (TV series)', 'House of Mouse', 'A Poem Is...', 'Once Upon a Time']",[],[],[],"[""Mickey's PhilharMagic"", ""Mickey's Soundsational Parade"", ""It's a Small World"", 'World of Color', 'Fantasmic!', ""Mickey's Boo-to-You Halloween Parade"", ""Mickey's Once Upon a Christmastime Parade"", ""Aladdin's Royal Caravan"", 'A Christmas Fantasy Parade', 'Mickey and the Wondrous Book', 'Golden Fairytale Fanfare', 'Voyage to the Crystal Grotto', 'Happily Ever After (fireworks show)', 'Wishes', 'Remember... Dreams Come True']"
Aletta,[],[],[],[],[],"[""Soarin'""]"
Alice,['Alice Comedies'],[],[],[],[],[]
Alligators,"['Fantasia', ""Mickey's Twice Upon a Christmas""]",['House of Mouse'],[],[],[],[]
Allison,['Hocus Pocus'],[],[],[],[],[]
Amicus Arcane,[],[],[],[],[],[]
Amphitrite,[],['Hercules (TV series)'],[],[],[],[]
Andre's Cats,[],['Quack Pack'],[],[],[],[]
Andrew Jacoby,['The Princess Diaries 2: Royal Engagement'],[],[],[],[],[]
Anga,[],['The Lion Guard'],[],[],[],[]
Annie,"['Our Huge Adventure', ""Rocket's Firebird Rescue""]",['Little Einsteins'],[],[],[],"['Disney Junior - Live on Stage!', ""Disney's Hollywood Studios""]"
Archimedes,[],['The Little Mermaid (TV series)'],[],[],[],[]
Ashley A.,"[""Recess: School's Out"", 'Recess: Taking the Fifth Grade', 'Recess: All Growed Down']",['Recess'],[],[],[],[]
Artemis Fowl II,['Artemis Fowl'],[],[],[],[],[]
Arthur,['Ralph Breaks the Internet'],[],[],[],[],[]
Nigel Ashcroft,[],['W.I.T.C.H. (TV series)'],[],[],[],[]
Vivian Ashe,"['Beverly Hills Chihuahua', 'Beverly Hills Chihuahua 2']",[],[],[],[],[]
Athos,['The Three Musketeers'],[],[],[],[],[]
Atka,['Brother Bear 2'],[],[],[],[],[]
The Auctioneer,['The Small One'],[],[],[],[],[]
Baileywick,['Sofia the First: Once Upon a Princess'],['Sofia the First'],[],[],[],[]
Bandar-log,"['The Jungle Book', 'The Jungle Book 2', ""Rudyard Kipling's The Jungle Book"", 'The Jungle Book (2016 film)']","['TaleSpin', 'Jungle Cubs', 'House of Mouse', 'Mickey Mouse (TV series)']",[],[],[],[]
Banshee,[],['Gargoyles'],[],[],[],[]
Franklin Barkin,[],['Kim Possible'],[],[],[],[]
Teddi Barra,[],[],[],[],[],"['Country Bear Jamboree', 'Country Bear Vacation Hoedown', 'Country Bear Christmas Special']"
Beary Barrington,['The Country Bears'],[],[],[],[],[]
Basil,[],['Johnny and the Sprites'],[],[],[],[]
Belinda Casey,['White Fang'],[],[],[],[],[]
Dr. Ben Kendall,['G-Force'],[],[],[],[],[]
Aliens,['Chicken Little (film)'],[],[],[],[],[]
Andrew,[],['Tangled: The Series'],[],[],[],[]
André,['Planes: Fire & Rescue'],[],[],[],[],[]
Angela,[],['Jessie (TV series)'],[],[],[],[]
Apollo,[],['The Little Mermaid (TV series)'],[],[],[],[]
Bonnie Appetite,[],[],[],[],[],['Kitchen Kabaret']
Wheely Applegate,['Herbie Goes to Monte Carlo'],[],[],[],[],[]
Armadylan,[],['PJ Masks'],[],[],[],[]
King Arthur,[],['Legend of the Three Caballeros'],[],[],[],[]
Astoroth,['Bedknobs and Broomsticks'],[],[],[],[],[]
Aunt Spiker,['James and the Giant Peach'],[],[],[],[],[]
Aunt Stacy,[],['Lilo & Stitch: The Series'],[],[],[],[]
Aunt Tilly,[],['Sofia the First'],[],[],[],[]
Captain Aurora Mayflower,[],[],[],[],[],[]
Axel,[],['Tangled: The Series'],[],[],[],[]
B.E.V.,['Ralph Breaks the Internet'],[],[],[],[],['Ralph Breaks VR']
Baboons,"['Tarzan', 'Tarzan II']",['The Legend of Tarzan'],[],[],[],[]
Backhoe,['Leroy & Stitch'],['Lilo & Stitch: The Series'],[],[],[],[]
Baljeet Tjinder,['Phineas and Ferb the Movie: Across the 2nd Dimension'],['Phineas and Ferb'],[],[],[],[]
Baltus Van Tassel,['The Adventures of Ichabod and Mr. Toad'],[],[],[],[],[]
