Name,Films,TV Shows,Short Films,Allies,Enemies,Park Attractions
Bartholomew,[],['Timon & Pumbaa'],[],[],[],[]
Ben Baxter,[],['Phineas and Ferb'],[],[],[],[]
Victor Baxter,[],"[""That's So Raven"", 'Cory in the House', ""Raven's Home""]",[],[],[],[]
Becca Embarcadero,[],['Fillmore!'],[],[],[],[]
Amber Addison,[],['Hannah Montana'],[],[],[],[]
Cutler Beckett,"[""Pirates of the Caribbean: Dead Man's Chest"", ""Pirates of the Caribbean: At World's End""]",[],[],[],[],[]
Claire Addison,['Genius'],[],[],[],[],[]
Behemoth,['The Nightmare Before Christmas'],[],[],[],[],[]
Assistant Mayor Bellwether,['Zootopia'],[],[],[],[],['Wonderful World of Animation']
Admirals Watson and Crick,[],['Miles from Tomorrowland'],[],[],[],[]
Adorable Norm,[],['Goldie & Bear'],[],[],[],[]
Andromeda,['The Parent Trap'],[],[],[],[],[]
Aneesa,['Disney Princess Enchanted Tales: Follow Your Dreams'],[],[],[],[],[]
Angelica,['Pollyanna'],[],[],[],[],[]
Duke Anoi,[],['The Proud Family'],[],[],[],[]
Armando,['Elena and the Secret of Avalor'],['Elena of Avalor'],[],[],[],[]
Armpit,['Holes'],[],[],[],[],[]
Thomas Ayerton,['In Search of the Castaways'],[],[],[],[],[]
Agent B,[],['The Replacements'],[],[],[],[]
Bad Boy,"[""Mickey's House of Villains""]",['Mickey Mouse Works'],[],[],[],[]
Dr. Badger,['Zootopia'],[],[],[],[],[]
Lora Baines,"['Tron', 'Tron: Legacy']",[],[],[],[],[]
Baitmouse,['The Rescuers Down Under'],[],[],[],[],[]
Baker's Father,['Into the Woods'],[],[],[],[],[]
Bambi's mother,"['Bambi (film)', 'The Sword in the Stone', 'The Jungle Book', 'The Rescuers', 'Who Framed Roger Rabbit', 'Beauty and the Beast (1991 film)', 'Bambi II']",['A Poem Is...'],['No Hunting'],[],[],['World of Color']
Barb,['Snow Dogs'],[],[],[],[],[]
Becky Barnes,"[""The Sorcerer's Apprentice""]",[],[],[],[],[]
Barry and Bob,['Home on the Range'],[],[],[],[],[]
Basi's Pod,['The Lion Guard: Return of the Roar'],['The Lion Guard'],[],[],[],[]
Baymax,"['Big Hero 6', 'Zootopia', 'Moana (film)', 'Ralph Breaks the Internet', 'Frozen II']","['Big Hero 6: The Series', 'At Home With Olaf', 'Baymax!']",['Frozen Fever'],[],[],"['World of Color', 'Disney Dreams!', 'Disney in the Stars', 'Ignite the Dream: A Nighttime Spectacular of Magic and Light', 'Happily Ever After (fireworks show)', 'The Happy Ride with Baymax']"
Babydoll Beagle,[],['DuckTales'],[],[],[],[]
Bouffant Beagle,[],['DuckTales'],[],[],[],[]
Beck,[],['Tron: Uprising'],[],[],[],[]
Beeza,[],['Wander Over Yonder'],[],[],[],[]
Belle,"['The Muppet Christmas Carol', 'A Christmas Carol']",[],[],[],[],[]
Benjamin Stahlbaum,['The Nutcracker and the Four Realms'],[],[],[],[],[]
Queen Abigail,[],['Elena of Avalor'],[],[],[],[]
Adora,[],['Star Darlings'],[],[],[],[]
Agent X,[],['Quack Pack'],[],[],[],[]
Akbar,[],['Aladdin (TV series)'],[],[],[],[]
Aladar's Mother,['Dinosaur'],[],[],[],[],[]
Alexander Nitrokoff,[],[],[],[],[],['The Haunted Mansion (attraction)']
"Alice, Rose, and Margaret","[""Rudyard Kipling's The Jungle Book""]",[],[],[],[],[]
Amber,[],['Andi Mack'],[],[],[],[]
Ankylosaurus,"['Fantasia', 'Dinosaur']",['Miles from Tomorrowland'],[],[],[],[]
Anthony the Weasel,[],['Tangled: The Series'],[],[],[],[]
"April, May, and June",[],"['House of Mouse', 'Legend of the Three Caballeros', 'DuckTales (2017 series)']",[],[],[],[]
"Arata, Hideo, and Yumi",[],['Penn Zero: Part-Time Hero'],[],[],[],[]
Archmage,[],['Gargoyles'],[],[],[],[]
Arlo,"['The Good Dinosaur', 'Monsters University', 'Inside Out', 'Ralph Breaks the Internet', 'Toy Story 4']",[],[],[],[],[]
Asgardian Gods,[],['Hercules (TV series)'],[],[],[],[]
Astra,[],['Star Darlings'],[],[],[],[]
Athena,['Hercules (film)'],['Hercules (TV series)'],[],[],[],[]
Audrey,"['Descendants', 'Descendants 3', 'Descendants: The Royal Wedding']",['Descendants: Wicked World'],"[""Audrey's Royal Return: A Descendants Short Story""]",[],[],[]
Aunt Bridget,[],['The Evermoor Chronicles'],[],[],[],[]
Ayam Aghoul,[],['Aladdin (TV series)'],[],[],[],[]
Azaad,[],['The Lion Guard'],[],[],[],[]
Baby Earl,[],['Timon & Pumbaa'],[],[],[],[]
Baby Panda,[],['Mickey Mouse (TV series)'],[],[],[],[]
The Baker,[],[],['The Small One'],[],[],[]
Baliyo,[],['The Lion Guard'],[],[],[],[]
Ballerina,['Fantasia 2000'],['House of Mouse'],[],[],[],[]
Balloony,[],['Phineas and Ferb'],[],[],[],[]
Lady Bane,[],['Adventures of the Gummi Bears'],[],[],[],[]
Banshee,"[""Darby O'Gill and the Little People""]",[],[],[],[],[]
Fang Barbarian,[],['Dave the Barbarian'],[],[],[],[]
Chelsea Barnes,['Princess Protection Program'],[],[],[],[],[]
Bash and Bella,[],['Big City Greens'],[],[],[],[]
Bayard,"['Alice in Wonderland (2010 film)', 'Alice Through the Looking Glass']",[],[],[],[],[]
Dr. Sara Bellum,[],['Darkwing Duck'],[],[],[],[]
Abis Mal's Thugs,"['The Return of Jafar', 'Aladdin and the King of Thieves']",['Aladdin (TV series)'],[],[],[],[]
627,[],"['Lilo & Stitch: The Series', 'Stitch!']",[],[],[],[]
9-Eye,[],[],[],[],[],['The Timekeeper']
Addison,[],['The Suite Life on Deck'],[],[],[],[]
Air Pirates,[],"['TaleSpin', 'DuckTales (2017 series)']",[],[],[],[]
Akita,[],['DuckTales (2017 series)'],[],[],[],[]
Alacazar,['Elena and the Secret of Avalor'],['Elena of Avalor'],[],[],[],[]
Albert the Monkey,[],[],[],[],[],['Mystic Manor']
Alex,['Lemonade Mouth'],[],[],[],[],[]
Alexander,[],['Hercules (TV series)'],[],[],[],[]
All Hands and Mr. Starfish,[],"[""Chip 'n Dale Rescue Rangers""]",[],[],[],[]
Alley Dogs,['Oliver & Company'],[],[],[],[],[]
Prince Alonso,[],['Elena of Avalor'],[],[],[],[]
Liv Amara,[],['Big Hero 6: The Series'],[],[],[],[]
An Yu,[],['PJ Masks'],[],[],[],[]
Anna,"['Frozen', 'Frozen II', 'Ralph Breaks the Internet']","[""It's a Small World: The Animated Series"", 'Once Upon a Time', 'Frozen: Northern Lights']","['Frozen Fever', 'The Art of Keeping Cool', ""Olaf's Frozen Adventure"", 'Once Upon a Snowman']",[],[],"['World of Color', 'Disney Dreams!', 'Celebrate the Magic', 'Festival of Fantasy Parade', 'Princess Fairytale Hall', ""Mickey's Soundsational Parade"", ""Mickey's Once Upon a Christmastime Parade"", 'A Christmas Fantasy Parade', 'A Frozen Holiday Wish', 'Paint the Night Parade', 'Fantasmic!', 'Frozen Ever After', 'Mickey and the Wondrous Book', ""Mickey's Royal Friendship Faire"", 'Frozen: Live at the Hyperion', ""Mickey's Storybook Express"", 'Golden Fairytale Fanfare', 'Ignite the Dream: A Nighttime Spectacular of Magic and Light', 'Once Upon a Time (Tokyo Disneyland)', 'Happily Ever After (fireworks show)', ""It's a Small World""]"
Antonia Bello,[],['Elena of Avalor'],[],[],[],[]
Aunt Arctic,[],[],[],[],[],[]
Aunt Bethie,[],['Marsupilami (TV series)'],[],[],[],[]
Aurora the Telescope,[],"['Doc McStuffins', 'The Doc Files']",[],[],[],[]
Ava,[],['T.O.T.S.'],[],[],[],[]
Aziz,[],['Aladdin (TV series)'],[],[],[],[]
Baby Parasaurolophus,['Dinosaur'],[],[],[],[],[]
Baby Penguin,['The Little Mermaid II: Return to the Sea'],[],[],[],[],[]
Baby Red Bird,[],['Mickey Mouse Clubhouse'],[],[],[],[]
Baby Weems,['The Reluctant Dragon'],[],[],[],[],[]
Badlands Dan,[],['Wander Over Yonder'],[],[],[],[]
Bambadee,[],[],[],[],[],[]
Bando,['Homeward Bound II: Lost in San Francisco'],[],[],[],[],[]
Professor Bannister,[],['Phineas and Ferb'],[],[],[],[]
Dave Barbarian,[],['Dave the Barbarian'],[],[],[],[]
Barry,[],['Amphibia'],[],[],[],[]
Basil of Baker Street,"['The Great Mouse Detective', 'Once Upon a Halloween']","['Darkwing Duck', 'House of Mouse', 'A Poem Is...']",[],[],[],[]
Belle's mother,['Beauty and the Beast (2017 film)'],['Once Upon a Time'],[],[],[],['Enchanted Tales with Belle']
Adira,[],['Tangled: The Series'],[],[],[],[]
Akela,"['The Jungle Book', ""The Jungle Book: Mowgli's Story"", 'The Jungle Book (2016 film)']",['Jungle Cubs'],[],[],[],[]
Aletheia,[],['DuckTales (2017 series)'],[],[],[],[]
Amal,[],['Aladdin (TV series)'],[],[],[],[]
Andromeda,[],['Big City Greens'],[],[],[],[]
Antauri,[],['Super Robot Monkey Team Hyperforce Go!'],[],[],[],[]
Antonio,[],['The Suite Life of Zack & Cody'],[],[],[],[]
Aoshima,[],['Gravity Falls'],[],[],[],[]
Apollo,['Fantasia'],[],[],[],[],[]
Arabella,[],['101 Dalmatian Street'],[],[],[],[]
Arachnid,[],[],[],[],[],[]
Archbishop of Canterbury,['The Story of Robin Hood and His Merrie Men'],[],[],[],[],[]
Arthur Chaney,['Air Bud'],[],[],[],[],[]
Ash Delgado,[],['Elena of Avalor'],[],[],[],[]
Askari,[],['The Lion Guard'],[],[],[],[]
Baby Baboon,['Tarzan'],['The Legend of Tarzan'],[],[],[],[]
Balloon,['Winnie the Pooh (film)'],[],[],[],[],[]
Banagi,['King of the Jungle'],[],[],[],[],[]
Bananas B,[],['American Dragon: Jake Long'],[],[],[],[]
Bandits,['Mulan II'],[],[],[],[],[]
Raven Baxter,[],"[""That's So Raven"", 'Cory in the House', 'The Suite Life of Zack & Cody', 'Sonny with a Chance', ""Raven's Home""]",[],[],[],[]
Jimmy Bean,['Pollyanna'],[],[],[],[],[]
The Bear,['The Fox and the Hound'],[],[],[],[],[]
Bees,"['The Many Adventures of Winnie the Pooh', ""Pooh's Grand Adventure: The Search for Christopher Robin"", 'The Tigger Movie', ""Piglet's Big Movie"", 'Winnie the Pooh (film)', 'Christopher Robin (film)']","['The New Adventures of Winnie the Pooh', 'The Book of Pooh']","['Winnie the Pooh and the Honey Tree', 'Winnie the Pooh and a Day for Eeyore']",[],[],"['The Many Adventures of Winnie the Pooh (attraction)', ""Pooh's Hunny Hunt""]"
Bellhops,[],[],[],[],[],['The Twilight Zone Tower of Terror']
Ben,"['Descendants', 'Descendants 2', 'Descendants 3', 'Descendants: The Royal Wedding']",['Descendants: Wicked World'],[],[],[],[]
Abigail,[],['Once Upon a Time'],[],[],[],[]
Absolem,"['Alice in Wonderland (2010 film)', 'Alice Through the Looking Glass']",[],[],[],[],[]
Abu,"['Aladdin (film)', 'The Return of Jafar', 'Aladdin and the King of Thieves', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", 'Disney Princess Enchanted Tales: Follow Your Dreams', 'Aladdin (2019 film)']","['Aladdin (TV series)', 'Hercules (TV series)', 'House of Mouse']",[],[],[],"['Garden of the Twelve Friends', 'Voyage to the Crystal Grotto']"
Aconcagua,['Saludos Amigos'],[],[],[],[],[]
Airiels,[],['Adventures of the Gummi Bears'],[],[],[],[]
Alley Cats,['The Aristocats'],['House of Mouse'],[],[],[],[]
Mr. Almaden,[],['Fillmore!'],[],[],[],[]
Aly San San,[],[],[],[],[],['Star Tours: The Adventures Continue']
Anda and Kata,['Brother Bear 2'],[],[],[],[],[]
Mr. Anderson,['Toy Story 4'],[],[],[],[],[]
Angel,"[""Lady and the Tramp II: Scamp's Adventure""]",[],[],[],[],[]
Angry and Red,[],['Tangled: The Series'],[],[],[],[]
"Annette, Collette, and Danielle","['Lady and the Tramp', ""Lady and the Tramp II: Scamp's Adventure"", 'Lady and the Tramp (2019 film)']",[],[],[],[],[]
Annie,['Annie (1999 film)'],[],[],[],[],[]
Armand,[],['Aladdin (TV series)'],[],[],[],[]
Armored Chess Pieces,['Alice in Wonderland (2010 film)'],[],[],[],[],[]
Army of Scar,[],['The Lion Guard'],[],[],[],[]
Hamish Ascot,"['Alice in Wonderland (2010 film)', 'Alice Through the Looking Glass']",[],[],[],[],[]
The Auctioneer,"[""Pirates of the Caribbean: At World's End""]",[],['Pirates of the Caribbean: Tales of the Code: Wedlocked'],[],[],['Pirates of the Caribbean (attraction)']
Austin Gorg,['Holes'],[],[],[],[],[]
B.E.N.,['Treasure Planet'],['Movie Surfers'],[],[],[],[]
Babe,"['Who Framed Roger Rabbit', 'Tall Tale']",['Phineas and Ferb'],['Paul Bunyan'],[],[],['Garden of the Twelve Friends']
Babi,['Treasure Buddies'],[],[],[],[],[]
Baby Cavenpuss,[],"[""Milo Murphy's Law""]",[],[],[],[]
Kangaroo Joey,[],[],"[""Mickey's Kangaroo""]",[],[],[]
Baby Shelby,[],"['Mickey Mouse Works', 'House of Mouse']",[],[],[],[]
Backwater Jack,[],['Quack Pack'],[],[],[],[]
Ballerina,[],['Sofia the First'],[],[],[],[]
The Balloon Lady,['Mary Poppins Returns'],[],[],[],[],[]
Jane Banks,"['Mary Poppins (film)', 'Mary Poppins Returns']",[],[],[],[],[]
Winifred Banks,"['Mary Poppins (film)', 'Mary Poppins Returns', 'Saving Mr. Banks']",[],[],[],[],[]
Baroness Bonbon,[],['The 7D'],[],[],[],[]
"Doctor Elizabeth ""Liz"" Bartlett",['The Cat from Outer Space'],[],[],[],[],[]
Bashful,"['Snow White and the Seven Dwarfs', 'Who Framed Roger Rabbit', 'Flubber', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", ""Teacher's Pet (film)"", 'The Lion King 1½']","['Walt Disney anthology series', 'House of Mouse', 'Once Upon a Time', 'The 7D', 'Mickey Mouse (TV series)']","['The Standard Parade', 'Seven Wise Dwarves', 'All Together', 'The Winged Scourge']",[],[],"[""Snow White's Scary Adventures"", 'Fantasmic!', ""Walt Disney's Parade of Dreams"", 'Mickey Mouse Revue', 'Main Street Electrical Parade', 'SpectroMagic', ""Mickey's Once Upon a Christmastime Parade"", 'Light Magic', 'A Christmas Fantasy Parade', 'Festival of Fantasy Parade', 'Seven Dwarfs Mine Train', 'Parade of the Stars']"
Bastet,[],['Hercules: The Animated Series'],[],[],[],[]
Beatrice and Daphne,['Cinderella II: Dreams Come True'],[],[],[],[],[]
Beauty Smith,['White Fang'],[],[],[],[],[]
Ben and Lon,['Pocahontas (film)'],[],[],[],[],[]
Gator Adams,[],['Dog With a Blog'],[],[],[],[]
Alberta Falls,[],[],[],[],[],"['Skipper Canteen', 'Jungle Cruise']"
Alice,"['Alice in Wonderland (1951 film)', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", 'Once Upon a Halloween', 'Ralph Breaks the Internet']","['Walt Disney anthology series', 'The Mouse Factory', 'Adventures in Wonderland', 'House of Mouse', 'A Poem Is...', 'Once Upon a Time in Wonderland', 'Once Upon a Time', 'At Home With Olaf']",[],[],[],"['Alice in Wonderland (Disneyland attraction)', ""Alice's Curious Labyrinth"", 'Mad Tea Party', 'Mickey Mouse Revue', ""Walt Disney's Parade of Dreams"", 'Fantasmic!', 'Main Street Electrical Parade', 'SpectroMagic', 'Celebrate a Dreams Come True Parade', 'Disney Stars and Motorcars Parade', ""Mickey's Boo-to-You Halloween Parade"", ""Mickey's Once Upon a Christmastime Parade"", 'Festival of Fantasy Parade', 'Parade of the Stars', 'Once Upon a Time (Tokyo Disneyland)', 'Happiness is Here Parade', 'Disney Stars on Parade', 'Dreaming Up!']"
Alice's Sister,['Alice in Wonderland (1951 film)'],"['Once Upon a Time in Wonderland', 'Princess Academy']",[],[],[],[]
Alucard Grigorian,[],['Big City Greens'],[],[],[],[]
Amelia,[],['Kim Possible'],[],[],[],[]
Amunet,[],['DuckTales (2017 series)'],[],[],[],[]
Anamaria,['Pirates of the Caribbean: The Curse of the Black Pearl'],[],[],[],[],[]
Councilor Andam,[],['American Dragon: Jake Long'],[],[],[],[]
Andy Ape,[],['Darkwing Duck'],[],[],[],[]
Andy Stanley,[],[],[],[],[],[]
Annabel Banks,['Mary Poppins Returns'],[],[],[],[],[]
Queen Anne,['Pocahontas II: Journey to a New World'],[],[],[],[],[]
Aracuan Bird,"['The Three Caballeros', 'Melody Time', 'Who Framed Roger Rabbit']","['Mickey Mouse Works', 'House of Mouse', 'Legend of the Three Caballeros']",['Clown of the Jungle'],[],[],"['Gran Fiesta Tour Starring the Three Caballeros', ""Mickey's Soundsational Parade""]"
Ariel,"['The Little Mermaid', 'The Little Mermaid II: Return to the Sea', ""The Little Mermaid: Ariel's Beginning"", 'A Goofy Movie', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", 'Once Upon a Halloween', 'The Return of Jafar', 'Aladdin and the King of Thieves', 'Cinderella III: A Twist in Time', 'Tangled', 'Ralph Breaks the Internet', 'Aladdin (2019 film)', 'Frozen II', 'The Little Mermaid (live-action film)']","['The Little Mermaid (TV series)', ""Little Mermaid's Island"", '101 Dalmatians: The Series', 'House of Mouse', 'A Poem Is...', 'Once Upon a Time', 'Sofia the First', 'The Wonderful World of Disney: The Little Mermaid Live!']",[],[],[],"['Cranium Command', ""The Little Mermaid: Ariel's Undersea Adventure"", ""Mickey's Soundsational Parade"", 'World of Color', 'Voyage of the Little Mermaid', 'Sorcerers of the Magic Kingdom', ""It's a Small World"", ""Mickey's PhilharMagic"", 'Fantasmic!', 'The Golden Mickeys', 'Disney Stars and Motorcars Parade', 'Celebrate a Dreams Come True Parade', 'SpectroMagic', ""Mickey's Once Upon a Christmastime Parade"", 'A Christmas Fantasy Parade', ""Walt Disney's Parade of Dreams"", 'Festival of Fantasy Parade', 'Remember... Dreams Come True', 'Wishes', 'Parade of the Stars', 'Paint the Night Parade', 'Voyage to the Crystal Grotto', 'Golden Fairytale Fanfare', 'Ignite the Dream: A Nighttime Spectacular of Magic and Light', ""Peter Pan's Flight""]"
Princess Astrid,[],['Sofia the First'],[],[],[],[]
Aunt Cass,"['Big Hero 6', 'Ralph Breaks the Internet']",['Big Hero 6: The Series'],[],[],[],[]
Aunt Rose and Uncle Chuck,[],['Penn Zero: Part-Time Hero'],[],[],[],[]
B.O.B.,['The Black Hole'],[],[],[],[],[]
B.O.Y.D.,[],['DuckTales (2017 series)'],[],[],[],[]
Baby Booby,[],"[""Chip 'n Dale Rescue Rangers""]",[],[],[],[]
Bacchus,['Fantasia'],['House of Mouse'],[],[],[],[]
Big Bad Wolf,"['Cri-Crí ""el grillito cantor""', 'Who Framed Roger Rabbit', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains""]","['Walt Disney anthology series', 'The Mickey Mouse Club', 'The Mouse Factory', 'Raw Toonage', 'Bonkers', 'House of Mouse', 'Have a Laugh!', 'Once Upon a Time', 'The 7D', 'Mickey Mouse (TV series)', 'The Wonderful World of Mickey Mouse']","['The Three Little Pigs', 'Old King Cole', 'The Big Bad Wolf (1934 short)', 'Three Little Wolves', 'The Practical Pig', ""Mickey's Polo Team"", 'Toby Tortoise Returns', 'The Standard Parade', 'The Thrifty Pig', ""Mickey's Christmas Carol""]",[],[],"['Mickey Mouse Revue', 'SpectroMagic', ""Mickey's Boo-to-You Halloween Parade"", 'Fantasmic!', 'Parade of the Stars', ""Mickey's WaterWorks"", 'Fantasy Gardens', 'Villains Night Out!']"
Coco Banana,[],['Kim Possible'],[],[],[],[]
Candy Barbarian,[],['Dave the Barbarian'],[],[],[],[]
Baron Von Sheldgoose,[],['Legend of the Three Caballeros'],[],[],[],[]
Baroness Von Hellman,['Cruella'],[],[],[],[],[]
Elton Bates,['Freaky Friday (2003)'],[],[],[],[],[]
Bats Biker,[],['Gravity Falls'],[],[],[],[]
Beacon Joe,"[""Pirates of the Caribbean: Dead Man's Chest""]",[],[],[],[],"['Pirates of the Caribbean', 'Mark Twain Riverboat']"
Beast,"['Beauty and the Beast (1991 film)', 'Beauty and the Beast: The Enchanted Christmas', ""Beauty and the Beast: Belle's Magical World"", 'Aladdin (film)', ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", 'The Lion King 1½', 'Descendants', 'Beauty and the Beast (2017 film)', 'Descendants 2', 'Descendants 3']","['House of Mouse', 'Once Upon a Time', 'Rumplestiltskin', 'Sofia the First', 'Mickey Mouse (TV series)', 'At Home With Olaf', 'The Wonderful World of Mickey Mouse']",[],[],[],"['Fantasmic!', 'World of Color', 'Celebrate a Dreams Come True Parade', ""Walt Disney's Parade of Dreams"", ""Mickey's Once Upon a Christmastime Parade"", 'A Christmas Fantasy Parade', 'Jubilation!', 'The Golden Mickeys', 'Festival of Fantasy Parade', 'Paint the Night Parade', 'Mickey and the Magician', 'Wonderful World of Animation']"
Beau,['Tangled'],[],[],[],[],[]
Beaver,"['Tigger & Pooh and a Musical Too', 'Super Duper Super Sleuths']",['My Friends Tigger & Pooh'],[],[],[],[]
Beck,[],[],[],[],[],[]
Connie Benge,"[""Doug's 1st Movie""]","[""Disney's Doug""]",[],[],[],[]
Benjamin,"[""The Little Mermaid: Ariel's Beginning""]",[],[],[],[],[]
Beppo the Gorilla,[],[],"['The Gorilla Mystery', ""Mickey's Mechanical Man"", 'The Pet Store']",[],[],[]
Mrs. Bentina Beakley,['DuckTales the Movie: Treasure of the Lost Lamp'],"['DuckTales', 'DuckTales (2017 series)']",[],[],[],[]
Bernard The Arch Elf,"['The Santa Clause', 'The Santa Clause 2']",[],[],[],[],[]
Debbie Berwick,[],['Phil of the Future'],[],[],[],[]
Bianca,[],"[""That's So Raven""]",[],[],[],[]
Bennett,[],['Sonny with a Chance'],[],[],[],[]
Benny,[],['Big City Greens'],[],[],[],[]
Jasmine Bernstein,[],['Crash & Bernstein'],[],[],[],[]
Melina Bianco,[],['Lizzie McGuire'],[],[],[],[]
Billy the Disney Goat,[],['Mickey Mouse (TV series)'],[],[],[],"['Big Thunder Mountain Railroad', ""Jessie's Critter Carousel""]"
Binga,[],['The Lion Guard'],[],[],[],[]
Thackery Binx,['Hocus Pocus'],[],[],[],[],['Hocus Pocus Villain Spelltacular']
Jeremy Birnbaum,[],['Star vs. the Forces of Evil'],[],[],[],[]
The Birthday Bandit,[],['Teamo Supremo'],[],[],[],[]
Black Scorpions,['Around the World in 80 Days'],[],[],[],[],[]
Katherine Blake,['Freaky Friday (2018)'],[],[],[],[],[]
"Blake, Tom, and Billy",['Bolt (film)'],[],[],[],[],[]
Blaze,[],['101 Dalmatians: The Series'],[],[],[],[]
Blaze,[],['Penn Zero: Part-Time Hero'],[],[],[],[]
Mr. Block,[],"[""Milo Murphy's Law""]",[],[],[],[]
Bluebeard,[],[],[],[],[],['The Haunted Mansion']
Matt Bluestone,[],['Gargoyles'],[],[],[],[]
King Bob,"[""Recess: School's Out"", 'Recess: Taking the Fifth Grade']",['Recess'],[],[],[],[]
Bogino,[],['The Lion Guard'],[],[],[],[]
Boomer,['Leroy & Stitch'],"['Lilo & Stitch: The Series', 'Stitch!']",[],[],[],[]
Ashley B.,"[""Recess: School's Out"", 'Recess: Taking the Fifth Grade', 'Recess: All Growed Down']",['Recess'],[],[],[],[]
Miss Bovina,[],[],[],[],[],[]
Roger Bowman,['Angels in the Outfield'],[],[],[],[],[]
Buddasi,['Treasure Buddies'],[],[],[],[],[]
Billy McBilly,[],"['Mickey and the Roadster Racers', ""Chip 'n Dale's Nutty Tales""]",[],[],[],[]
Buff Frog's Tadpoles,[],['Star vs. the Forces of Evil'],[],[],[],[]
Bugs,['Winnie the Pooh: A Very Merry Pooh Year'],['The New Adventures of Winnie the Pooh'],[],[],[],[]
Buster,"[""Lady and the Tramp II: Scamp's Adventure""]",[],[],[],[],[]
Brad Buttowski,[],['Kick Buttowski: Suburban Daredevil'],[],[],[],[]
Kick Buttowski,[],['Kick Buttowski: Suburban Daredevil'],[],[],[],[]
Camille,[],['Jake and the Never Land Pirates'],[],[],[],[]
Canina La Fur,[],"[""Chip 'n Dale Rescue Rangers""]",[],[],[],[]
Captain of the Guard,[],['Gargoyles'],[],[],[],[]
Captain of the Guards,"['Tangled', 'Tangled: Before Ever After']",['Tangled: The Series'],[],[],[],[]
Carnotaurus,['Dinosaur'],[],[],[],[],['DINOSAUR']
Carolyn McAdams,['Flight of the Navigator'],[],[],[],[],[]
Mr. Carruthers,['Snowball Express'],[],[],[],[],[]
Amanda Bernstein,[],['Crash & Bernstein'],[],[],[],[]
Betty Lou Van Der Built,[],[],[],[],[],[]
Big Toot,['Melody Time'],[],[],[],[],[]
Mr. Big,['Zootopia'],[],[],[],[],[]
Bimini,"['Beverly Hills Chihuahua', 'Beverly Hills Chihuahua 2']",[],[],[],[],[]
King Bingleborp,[],['Wander Over Yonder'],[],[],[],[]
Balthazar Blake,"[""The Sorcerer's Apprentice (film)""]",[],[],[],[],[]
Dr. Bloodpudding,[],['Phineas and Ferb'],[],[],[],[]
The Shadow Blot,[],[],[],[],[],[]
Alice Blue Bonnet,['Make Mine Music'],['Mickey Mouse (TV series)'],[],[],[],[]
Bo'sun,['Pirates of the Caribbean: The Curse of the Black Pearl'],[],[],[],[],[]
Bonkers D. Bobcat,[],"['Raw Toonage', 'Bonkers', 'Aladdin (TV series)', 'DuckTales (2017 series)']",[],[],[],"[""Mickey's Magical TV World""]"
"Bog, Fens &  Mire",[],['Amphibia'],[],[],[],[]
Gordon Bombay,"['The Mighty Ducks', 'D2: The Mighty Ducks', 'D3: The Mighty Ducks']",['The Mighty Ducks: Game Changers'],[],[],[],[]
Braddock,[],[],[],[],[],[]
Brain,[],[],['Inner Workings'],[],[],[]
The Bride,"[""Let's Go to Disneyland Paris"", 'Melanie Ravenswood', 'The Haunted Mansion (film)', 'Elizabeth Henshaw']","['House of Mouse', 'Constance Hatchaway']",[],[],[],['The Haunted Mansion']
Captain Brieux,['The Island at the Top of the World'],[],[],[],[],"['Discovery Bay', 'Cafe Hyperion', 'Skipper Canteen']"
Brock and Vonnie Zero,[],['Penn Zero: Part-Time Hero'],[],[],[],[]
Brooklyn,[],['Gargoyles'],[],[],[],[]
Rupert Brooks,['Snow Dogs'],[],[],[],[],[]
Brudus,['Fantasia'],[],[],[],[],[]
Biana Bully,[],['Fillmore!'],[],[],[],[]
Mr. Burgermeister,['Frankenweenie'],[],[],[],[],[]
Burners,[],['Motorcity'],[],[],[],[]
Mr. Busy,"['Lady and the Tramp', 'Lady and the Tramp (2019 film)']",[],['The Litterbug'],[],[],[]
Meteora Butterfly,[],['Star vs. the Forces of Evil'],[],[],[],[]
Cacahuate,[],['Elena of Avalor'],[],[],[],[]
Dr. Calico,['Bolt (film)'],[],['Super Rhino'],[],[],[]
Princess Calla,[],['Adventures of the Gummi Bears'],[],[],[],[]
Calliope,"[""Rodgers & Hammerstein's Cinderella""]",[],[],[],[],[]
Capricious Harmony,[],[],[],[],[],[]
Captain Al Bahtross,[],['Aladdin (TV series)'],[],[],[],[]
Captain Quaid,[],['Tangled: The Series'],[],[],[],[]
Captain Sticky,[],['Recess'],[],[],[],[]
Officer/Sgt. Carmody,['The Ugly Dachshund'],[],[],[],[],[]
Carol Newman-Calvin,"['The Santa Clause 2', 'The Santa Clause 3: The Escape Clause']",[],[],[],[],[]
Carrie (Austin & Ally),[],['Austin and Ally'],[],[],[],[]
Bessie,[],['101 Dalmatian Street'],[],[],[],[]
Ms. Birch,[],['American Dragon: Jake Long'],[],[],[],[]
Black Heron,[],['DuckTales (2017 series)'],[],[],[],[]
Boomer Bledsoe,[],['Doug'],[],[],[],[]
